STAC Cutoff,Unique AMT Tags,Errors,FDR (%),Unique AMT Tags (UP>0.5),Errors (UP>0.5),FDR (%) (UP>0.5)
0.990,0,0,0,0,0,0
0.980,389,5.8,1.4814,383,5.7,1.4824
0.970,450,7.2,1.5978,438,6.9,1.5866
0.960,474,8.0,1.6921,461,7.7,1.6798
0.950,487,8.6,1.7648,474,8.3,1.7548
0.940,495,9.0,1.8257,482,8.8,1.8175
0.930,507,9.8,1.9370,494,9.5,1.9319
0.920,510,10.0,1.9696,496,9.7,1.9541
0.910,511,10.1,1.9826,497,9.8,1.9675
0.900,511,10.1,1.9826,497,9.8,1.9675
0.800,522,11.8,2.2521,506,11.2,2.2065
0.700,529,13.5,2.5588,512,12.7,2.4714
0.600,535,15.6,2.9109,515,13.7,2.6655
0.500,542,18.6,3.4237,521,16.2,3.1185
0.400,544,19.6,3.6108,523,17.3,3.3143
0.300,547,21.6,3.9483,524,18.0,3.4349
0.200,553,26.1,4.7265,528,21.0,3.9776
0.100,563,34.5,6.1351,537,28.6,5.3199
0,791,261.7,33.0820,654,145.2,22.1995
